PersonnelCode;Gösterge Adı;Periyot;Ürün;Planlanan;Gerçekleşen;Sonuç 
101277;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;MAGNIS;15202,7047;21512,4;141,5037681
101279;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;BRONCHOREST;21651,15711;9085,58;41,9634847
101279;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;DICLOFLAM;141551,039;131881,92;93,16916426
101279;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;PARAFON/X;113128,6003;128492,7;113,5810924
101323;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;BRONCHOREST;57162,3347;124299,98;217,4508453
101323;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;DICLOFLAM;128939,052;91098,24;70,65217138
101323;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;PARAFON/X;184140,1213;90459,88;49,12556773
101329;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;BRONCHOREST;16400,45976;8569,96;52,25438876
101329;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;DICLOFLAM;74779,10883;65328,96;87,36258163
101329;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;PARAFON/X;77577,85311;81077,36;104,5109612
101459;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;DULOXX;161492,1857;199797,0905;123,7193549
101459;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;GYREX;286409,6393;334355,41;116,7402783
101459;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;PHOCUSS;63689,74851;110450,75;173,4199814
101460;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ELEKTRA PLUS JEL;108490,681;90074,32;83,02493739
101460;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;HIRUDOID;92745,25103;82246,09011;88,67957032
101460;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;MODET;79143,14367;61819,13;78,11053129
101463;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ELEKTRA PLUS JEL;127640,4859;76805,04;60,17294549
101463;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;HIRUDOID;127655,9241;128507,3901;100,6670008
101463;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;MODET;74753,61626;53721,72;71,86504504
101467;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ELEKTRA PLUS JEL;101372,1218;75763;74,73751034
101467;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;HIRUDOID;127373,89;120905,4802;94,92171447
101467;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;MODET;62076,41997;36857,43;59,37428418
