Çalışan Sicil;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
102119;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
102142;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
102145;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
102245;TSMv2 - Medikal Sınav Başarısı;1;100;78;78
102295;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
102358;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
102371;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
102372;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
102374;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
102378;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
102380;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
102382;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
102388;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
102389;TSMv2 - Medikal Sınav Başarısı;1;100;80;80
102396;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
100177;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
100202;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
100214;TSMv2 - Medikal Sınav Başarısı;1;100;95,92;95,92
100233;TSMv2 - Medikal Sınav Başarısı;1;100;77,67;77,67
100254;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
100263;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100286;TSMv2 - Medikal Sınav Başarısı;1;100;85,84;85,84
100325;TSMv2 - Medikal Sınav Başarısı;1;100;95,92;95,92
100330;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100340;TSMv2 - Medikal Sınav Başarısı;1;100;95,84;95,84
100385;TSMv2 - Medikal Sınav Başarısı;1;100;91,84;91,84
100445;TSMv2 - Medikal Sınav Başarısı;1;100;91,67;91,67
100469;TSMv2 - Medikal Sınav Başarısı;1;100;95,92;95,92
100490;TSMv2 - Medikal Sınav Başarısı;1;100;89,84;89,84
100532;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100561;TSMv2 - Medikal Sınav Başarısı;1;100;89,92;89,92
100567;TSMv2 - Medikal Sınav Başarısı;1;100;95,92;95,92
100571;TSMv2 - Medikal Sınav Başarısı;1;100;97,92;97,92
100600;TSMv2 - Medikal Sınav Başarısı;1;100;95,92;95,92
100601;TSMv2 - Medikal Sınav Başarısı;1;100;92;92
100778;TSMv2 - Medikal Sınav Başarısı;1;100;95,84;95,84
100788;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
100802;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
101459;TSMv2 - Medikal Sınav Başarısı;1;100;95,92;95,92
101543;TSMv2 - Medikal Sınav Başarısı;1;100;89,22;89,22
101678;TSMv2 - Medikal Sınav Başarısı;1;100;87,84;87,84
101679;TSMv2 - Medikal Sınav Başarısı;1;100;89,92;89,92
101695;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
101976;TSMv2 - Medikal Sınav Başarısı;1;100;85,75;85,75
102010;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
102133;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
102271;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
102356;TSMv2 - Medikal Sınav Başarısı;1;100;92;92
102526;TSMv2 - Medikal Sınav Başarısı;1;100;91,67;91,67
102527;TSMv2 - Medikal Sınav Başarısı;1;100;95,83;95,83
102529;TSMv2 - Medikal Sınav Başarısı;1;100;95,83;95,83
102530;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
102533;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
102538;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
100397;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
100401;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100463;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100464;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
100491;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
100504;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100511;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100580;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100582;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
100603;TSMv2 - Medikal Sınav Başarısı;1;100;84;84
100623;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100649;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
100684;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
100709;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
100717;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100783;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100848;TSMv2 - Medikal Sınav Başarısı;1;100;92;92
100856;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100865;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
101009;TSMv2 - Medikal Sınav Başarısı;1;100;92;92
101258;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
101474;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
101542;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
101549;TSMv2 - Medikal Sınav Başarısı;1;100;90;90
101686;TSMv2 - Medikal Sınav Başarısı;1;100;92;92
101688;TSMv2 - Medikal Sınav Başarısı;1;100;88;88
101790;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
101803;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
102136;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
102259;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
102267;TSMv2 - Medikal Sınav Başarısı;1;100;90;90
102269;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
102280;TSMv2 - Medikal Sınav Başarısı;1;100;92;92
102528;TSMv2 - Medikal Sınav Başarısı;1;100;88;88
102531;TSMv2 - Medikal Sınav Başarısı;1;100;88;88
102532;TSMv2 - Medikal Sınav Başarısı;1;100;88;88
102534;TSMv2 - Medikal Sınav Başarısı;1;100;88;88
102537;TSMv2 - Medikal Sınav Başarısı;1;100;84;84
102541;TSMv2 - Medikal Sınav Başarısı;1;100;84;84
