Çalışan Sicil No;Gösterge Adı;Periyot;Ürün;Planlanan;Gerçekleşen;Sonuç 
102642;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;EVASIF;96036,63789;83419,14;92,82742087
102628;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;EVASIF;158534,5787;219122,56;147,7102434
102672;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;EVASIF;57267,91021;47549,82;88,73297965
100321;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;EVASIF;110041,1535;120043,7;116,58207
102630;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;EVASIF;80707,38661;72023,42;95,36916466
102670;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;EVASIF;102419,7275;111707,7;116,5593234
102671;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;EVASIF;65580,95528;62264,48;101,4635727
102642;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;SIDATRIA;141664,6221;215961,98;162,9158793
102628;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;SIDATRIA;80319,88459;93049,5;123,8050875
102672;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;SIDATRIA;132270,4175;153093,82;123,6922413
100321;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;SIDATRIA;85505,11862;62097,74;77,61241627
102630;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;SIDATRIA;97273,85163;68628,9;75,39776096
102670;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;SIDATRIA;101096,2946;126577,7;133,8041198
102671;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;SIDATRIA;82097,75819;60931,36;79,31532299
102543;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;EVASIF;65580,95528;62264,48;101,4635727
102375;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;SIDATRIA;141664,6221;215961,98;162,9158793
102377;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;EVASIF;65580,95528;62264,48;101,4635727
102362;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;SIDATRIA;141664,6221;215961,98;162,9158793
102365;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;EVASIF;65580,95528;62264,48;101,4635727
102371;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;SIDATRIA;141664,6221;215961,98;162,9158793
