Çalışan Sicil No;Gösterge Adı ;Periyod;Planlanan;Gerçekleşen;Sonuç 
100862;TSMv2 - Gelişim İndeksi;1;103,6549333;103,7630907;100,2565731
100950;TSMv2 - Gelişim İndeksi;1;103,6549333;104,8772357;101,2425457
101023;TSMv2 - Gelişim İndeksi;1;103,6549333;109,3401632;104,930762
101020;TSMv2 - Gelişim İndeksi;1;103,6549333;110,8827662;107,1321585
101264;TSMv2 - Gelişim İndeksi;1;103,6549333;93,24396647;90,33414476
101276;TSMv2 - Gelişim İndeksi;1;103,6549333;96,30363411;92,96577872
101279;TSMv2 - Gelişim İndeksi;1;103,6549333;108,7064339;105,3589977
101329;TSMv2 - Gelişim İndeksi;1;103,6549333;105,3832233;101,7883657
101547;TSMv2 - Gelişim İndeksi;1;103,6549333;108,0797999;104,0667517
101562;TSMv2 - Gelişim İndeksi;1;103,6549333;105,0345278;100,9780214
101568;TSMv2 - Gelişim İndeksi;1;103,6549333;104,1457571;100,2621921
101661;TSMv2 - Gelişim İndeksi;1;103,6549333;107,0722403;103,8720121
101666;TSMv2 - Gelişim İndeksi;1;103,6549333;106,1723625;102,4534471
101796;TSMv2 - Gelişim İndeksi;1;103,6549333;109,5025332;105,2887248
101810;TSMv2 - Gelişim İndeksi;1;103,6549333;108,7417125;103,916
101816;TSMv2 - Gelişim İndeksi;1;103,6549333;111,6672408;108,0991532
101817;TSMv2 - Gelişim İndeksi;1;103,6549333;108,4229552;105,0852648
101818;TSMv2 - Gelişim İndeksi;1;103,6549333;97,31391095;93,4193296
101829;TSMv2 - Gelişim İndeksi;1;103,6549333;111,9384934;107,1707616
101841;TSMv2 - Gelişim İndeksi;1;103,6549333;111,8866542;108,2576912
101909;TSMv2 - Gelişim İndeksi;1;103,6549333;108,6332361;104,4715078
101914;TSMv2 - Gelişim İndeksi;1;103,6549333;94,06522774;90,84602076
101924;TSMv2 - Gelişim İndeksi;1;103,6549333;104,8913418;101,5989041
101925;TSMv2 - Gelişim İndeksi;1;103,6549333;100,5860697;97,46743845
101982;TSMv2 - Gelişim İndeksi;1;103,6549333;109,2084874;105,1103013
102137;TSMv2 - Gelişim İndeksi;1;103,6549333;106,7195149;103,9259801
102140;TSMv2 - Gelişim İndeksi;1;103,6549333;115,1265977;110,6049066
102260;TSMv2 - Gelişim İndeksi;1;103,6549333;102,8566635;98,70820214
102261;TSMv2 - Gelişim İndeksi;1;103,6549333;106,1391785;102,3030529
102262;TSMv2 - Gelişim İndeksi;1;103,6549333;100,2912278;97,32470165
102263;TSMv2 - Gelişim İndeksi;1;103,6549333;103,7045414;100,3654274
102264;TSMv2 - Gelişim İndeksi;1;103,6549333;104,9874868;100,8590464
102289;TSMv2 - Gelişim İndeksi;1;103,6549333;105,2787316;102,0302071
102357;TSMv2 - Gelişim İndeksi;1;103,6549333;125,9084815;117,6807133
102360;TSMv2 - Gelişim İndeksi;1;103,6549333;105,5859627;102,9364357
