Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç ;
102285;TSMv2 - Pazar İndeksi;1;100;100,4022203;100,4022203;
101824;TSMv2 - Pazar İndeksi;1;100;62,43680159;62,43680159;
100288;TSMv2 - Pazar İndeksi;1;100;92,36081236;92,36081236;
101487;TSMv2 - Pazar İndeksi;1;100;74,12940626;74,12940626;
101553;TSMv2 - Pazar İndeksi;1;100;60,33090743;60,33090743;
100453;TSMv2 - Pazar İndeksi;1;100;39,13301045;39,13301045;
100315;TSMv2 - Pazar İndeksi;1;100;75,65239157;75,65239157;
101795;TSMv2 - Pazar İndeksi;1;100;175,9729096;175,9729096;
101952;TSMv2 - Pazar İndeksi;1;100;122,7206841;122,7206841;
100327;TSMv2 - Pazar İndeksi;1;100;145,7217705;145,7217705;
102404;TSMv2 - Pazar İndeksi;1;100;118,4828901;118,4828901;
101950;TSMv2 - Pazar İndeksi;1;100;142,9897821;142,9897821;
101940;TSMv2 - Pazar İndeksi;1;100;131,0343198;131,0343198;
100539;TSMv2 - Pazar İndeksi;1;100;139,0160153;139,0160153;
100503;TSMv2 - Pazar İndeksi;1;100;144,5077931;144,5077931;
101691;TSMv2 - Pazar İndeksi;1;100;127,0499834;127,0499834;
100459;TSMv2 - Pazar İndeksi;1;100;144,1888964;144,1888964;
102386;TSMv2 - Pazar İndeksi;1;100;116,450595;116,450595;
101658;TSMv2 - Pazar İndeksi;1;100;135,9498397;135,9498397;
100470;TSMv2 - Pazar İndeksi;1;100;122,910442;122,910442;
102373;TSMv2 - Pazar İndeksi;1;100;126,1889875;126,1889875;
100260;TSMv2 - Pazar İndeksi;1;100;113,4730677;113,4730677;
100398;TSMv2 - Pazar İndeksi;1;100;129,0924789;129,0924789;
100768;TSMv2 - Pazar İndeksi;1;100;111,1654469;111,1654469;
101811;TSMv2 - Pazar İndeksi;1;100;111,7707419;111,7707419;
102379;TSMv2 - Pazar İndeksi;1;100;122,5913166;122,5913166;
100770;TSMv2 - Pazar İndeksi;1;100;95,87404798;95,87404798;
101807;TSMv2 - Pazar İndeksi;1;100;125,2774747;125,2774747;
101832;TSMv2 - Pazar İndeksi;1;100;126,3948268;126,3948268;
102401;TSMv2 - Pazar İndeksi;1;100;112,4330337;112,4330337;
101559;TSMv2 - Pazar İndeksi;1;100;133,1031251;133,1031251;
100261;TSMv2 - Pazar İndeksi;1;100;114,4652526;114,4652526;
102141;TSMv2 - Pazar İndeksi;1;100;123,2353699;123,2353699;
100199;TSMv2 - Pazar İndeksi;1;100;116,1720007;116,1720007;
102395;TSMv2 - Pazar İndeksi;1;100;95,3965739;95,3965739;
101947;TSMv2 - Pazar İndeksi;1;100;97,54811545;97,54811545;
102364;TSMv2 - Pazar İndeksi;1;100;98,84930839;98,84930839;
100782;TSMv2 - Pazar İndeksi;1;100;115,9114507;115,9114507;
101560;TSMv2 - Pazar İndeksi;1;100;91,46706824;91,46706824;
101842;TSMv2 - Pazar İndeksi;1;100;108,8748242;108,8748242;
101949;TSMv2 - Pazar İndeksi;1;100;93,87890807;93,87890807;
100879;TSMv2 - Pazar İndeksi;1;100;85,11387184;85,11387184;
102255;TSMv2 - Pazar İndeksi;1;100;104,5239744;104,5239744;
102355;TSMv2 - Pazar İndeksi;1;100;116,0059289;116,0059289;
100596;TSMv2 - Pazar İndeksi;1;100;123,5120135;123,5120135;
100200;TSMv2 - Pazar İndeksi;1;100;101,3416038;101,3416038;
101542;TSMv2 - Pazar İndeksi;1;100;116,5900684;116,5900684;
100296;TSMv2 - Pazar İndeksi;1;100;126,7059378;126,7059378;
100801;TSMv2 - Pazar İndeksi;1;100;100,1041796;100,1041796;
101948;TSMv2 - Pazar İndeksi;1;100;117,9619402;117,9619402;
100530;TSMv2 - Pazar İndeksi;1;100;85,83864846;85,83864846;
100334;TSMv2 - Pazar İndeksi;1;100;97,23198961;97,23198961;
102277;TSMv2 - Pazar İndeksi;1;100;86,0916838;86,0916838;
101823;TSMv2 - Pazar İndeksi;1;100;93,85923672;93,85923672;
101262;TSMv2 - Pazar İndeksi;1;100;95,58709891;95,58709891;
101944;TSMv2 - Pazar İndeksi;1;100;117,2797643;117,2797643;
100404;TSMv2 - Pazar İndeksi;1;100;97,16152755;97,16152755;
100716;TSMv2 - Pazar İndeksi;1;100;87,40810066;87,40810066;
100344;TSMv2 - Pazar İndeksi;1;100;111,0221929;111,0221929;
100294;TSMv2 - Pazar İndeksi;1;100;108,8486494;108,8486494;
101555;TSMv2 - Pazar İndeksi;1;100;83,76293189;83,76293189;
102402;TSMv2 - Pazar İndeksi;1;100;98,18816382;98,18816382;
102370;TSMv2 - Pazar İndeksi;1;100;88,01180322;88,01180322;
100657;TSMv2 - Pazar İndeksi;1;100;111,7155381;111,7155381;
101939;TSMv2 - Pazar İndeksi;1;100;75,41224667;75,41224667;
101946;TSMv2 - Pazar İndeksi;1;100;82,04080762;82,04080762;
