Çalışan Sicil No;Gösterge Adı ;Periyod;Planlanan;Gerçekleşen;Sonuç 
102355;TSMv2 - Pazar İndeksi;1;100;116,0059289;116,0059289
100596;TSMv2 - Pazar İndeksi;1;100;123,5120135;123,5120135
100200;TSMv2 - Pazar İndeksi;1;100;101,3416038;101,3416038
101542;TSMv2 - Pazar İndeksi;1;100;116,5900684;116,5900684
100296;TSMv2 - Pazar İndeksi;1;100;126,7059378;126,7059378
100801;TSMv2 - Pazar İndeksi;1;100;100,1041796;100,1041796
101948;TSMv2 - Pazar İndeksi;1;100;117,9619402;117,9619402
100530;TSMv2 - Pazar İndeksi;1;100;85,83864846;85,83864846
100334;TSMv2 - Pazar İndeksi;1;100;97,23198961;97,23198961
102277;TSMv2 - Pazar İndeksi;1;100;86,0916838;86,0916838
101823;TSMv2 - Pazar İndeksi;1;100;93,85923672;93,85923672
101262;TSMv2 - Pazar İndeksi;1;100;95,58709891;95,58709891
101944;TSMv2 - Pazar İndeksi;1;100;117,2797643;117,2797643
100404;TSMv2 - Pazar İndeksi;1;100;97,16152755;97,16152755
100716;TSMv2 - Pazar İndeksi;1;100;87,40810066;87,40810066
100344;TSMv2 - Pazar İndeksi;1;100;111,0221929;111,0221929
100294;TSMv2 - Pazar İndeksi;1;100;108,8486494;108,8486494
101555;TSMv2 - Pazar İndeksi;1;100;83,76293189;83,76293189
102402;TSMv2 - Pazar İndeksi;1;100;98,18816382;98,18816382
102370;TSMv2 - Pazar İndeksi;1;100;88,01180322;88,01180322
100657;TSMv2 - Pazar İndeksi;1;100;111,7155381;111,7155381
101939;TSMv2 - Pazar İndeksi;1;100;75,41224667;75,41224667
101946;TSMv2 - Pazar İndeksi;1;100;82,04080762;82,04080762
102244;TSMv2 - Pazar İndeksi;1;100;92,89240571;92,89240571
102258;TSMv2 - Pazar İndeksi;1;100;84,62857608;84,62857608
102390;TSMv2 - Pazar İndeksi;1;100;71,5457493;71,5457493
102246;TSMv2 - Pazar İndeksi;1;100;62,35676568;62,35676568
101821;TSMv2 - Pazar İndeksi;1;100;79,92277369;79,92277369
101937;TSMv2 - Pazar İndeksi;1;100;75,19750254;75,19750254
102276;TSMv2 - Pazar İndeksi;1;100;75,78078235;75,78078235
101546;TSMv2 - Pazar İndeksi;1;100;68,28444614;68,28444614
101938;TSMv2 - Pazar İndeksi;1;100;72,37822696;72,37822696
102251;TSMv2 - Pazar İndeksi;1;100;67,14916613;67,14916613
100497;TSMv2 - Pazar İndeksi;1;100;111,6785988;111,6785988
100594;TSMv2 - Pazar İndeksi;1;100;169,2110682;169,2110682
100521;TSMv2 - Pazar İndeksi;1;100;176,0122339;176,0122339
102245;TSMv2 - Pazar İndeksi;1;100;123,7907636;123,7907636
102380;TSMv2 - Pazar İndeksi;1;100;108,0952993;108,0952993
100627;TSMv2 - Pazar İndeksi;1;100;106,7501337;106,7501337
100664;TSMv2 - Pazar İndeksi;1;100;101,540722;101,540722
100384;TSMv2 - Pazar İndeksi;1;100;109,7794184;109,7794184
100934;TSMv2 - Pazar İndeksi;1;100;120,6624486;120,6624486
100380;TSMv2 - Pazar İndeksi;1;100;92,26197896;92,26197896
100494;TSMv2 - Pazar İndeksi;1;100;129,9694179;129,9694179
102119;TSMv2 - Pazar İndeksi;1;100;108,3697773;108,3697773
102358;TSMv2 - Pazar İndeksi;1;100;121,1235858;121,1235858
100688;TSMv2 - Pazar İndeksi;1;100;68,214775;68,214775
101935;TSMv2 - Pazar İndeksi;1;100;118,6945586;118,6945586
100276;TSMv2 - Pazar İndeksi;1;100;107,9058541;107,9058541
100338;TSMv2 - Pazar İndeksi;1;100;118,2248051;118,2248051
100443;TSMv2 - Pazar İndeksi;1;100;130,5232936;130,5232936
100932;TSMv2 - Pazar İndeksi;1;100;121,421534;121,421534
101852;TSMv2 - Pazar İndeksi;1;100;106,9704998;106,9704998
100541;TSMv2 - Pazar İndeksi;1;100;125,3939951;125,3939951
102378;TSMv2 - Pazar İndeksi;1;100;102,1817197;102,1817197
101274;TSMv2 - Pazar İndeksi;1;100;102,0095186;102,0095186
102371;TSMv2 - Pazar İndeksi;1;100;79,35418256;79,35418256
100337;TSMv2 - Pazar İndeksi;1;100;113,0551518;113,0551518
100164;TSMv2 - Pazar İndeksi;1;100;123,765184;123,765184
100205;TSMv2 - Pazar İndeksi;1;100;95,53009136;95,53009136
100724;TSMv2 - Pazar İndeksi;1;100;93,25625278;93,25625278
102388;TSMv2 - Pazar İndeksi;1;100;107,5742059;107,5742059
100942;TSMv2 - Pazar İndeksi;1;100;107,941456;107,941456
100500;TSMv2 - Pazar İndeksi;1;100;95,82704054;95,82704054
100704;TSMv2 - Pazar İndeksi;1;100;96,34174091;96,34174091
