Çalışan Sicil No;Gösterge Adı ;Periyod;Planlanan;Gerçekleşen;Sonuç
100684;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1411079,832;1449575,065;105,0423494
100567;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;2661899,112;3023418,61;116,8740388
101821;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1302167,981;1179486,44;90,47698484
101678;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;2916311,202;3064434,155;108,1254156
102364;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;878733,8093;920578,01;104,6442669
101823;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1331056,202;1208433,75;90,68566287
102362;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1153355,842;1541879,31;124,844426
102365;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1451811,037;1622987,94;104,396826
101939;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1469474,994;1260916,5;85,71094968
101803;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1694153,045;1810912,715;109,3000042
102260;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1621143,907;1802826,75;106,1074204
101810;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1774238,959;1984732,46;106,7341
100464;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1315504,202;1134440,12;88,17889227
102366;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1717598,673;1668584,55;92,69148783
102367;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1305317,171;1151712,59;84,18629457
101909;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1744597,42;1780600,82;97,38334194
102258;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1183882,683;1087468,2;91,75295868
102261;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1558975,827;1914883,22;117,1969322
100250;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1026195,796;946121,56;92,19698262
102369;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1302664,29;1317215,57;101,1170399
100385;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1030324,655;877439,36;87,63031665
102254;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1672349,256;1748920,03;115,7458849
100470;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1393496,676;1662193,85;119,1483173
102370;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1046586,771;916743,28;87,49528975
101329;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1009204,852;955742,05;90,3596824
101852;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1771319,581;2010818,21;100,5027376
102259;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;898499,8219;850995,515;96,84664434
102372;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1394869,171;1483182,01;94,13756899
102135;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1261705,279;1224975,49;97,08887731
101940;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1612807,569;1878816,47;116,3627523
101487;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1880933,638;1377884,43;81,07779118
100328;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1646995,188;1788822,43;103,6306525
102000;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1735205,286;1845484,41;106,3553935
100504;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1543808,867;1595877,505;105,7015421
100716;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1301165,779;1242343,37;95,3720666
100662;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1119412,105;989027,75;88,35242585
100797;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1602913,948;1520585,87;104,9937221
100292;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1347596,078;1586243,64;117,65
100658;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1977390,902;2981877,1;143,8833495
101801;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1113107,837;1182849,02;94,0793005
100580;TSMv3 - Toplam Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;1080720,865;1039345,89;98,33811249
