PersonnelCode;Gösterge Adý;Periyot;Ürün;Planlanan;Gerçekleþen;Sonuç 
101547;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;379569,96;395152,36;104,11
100460;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;47173,35;40334,63;85,50
100460;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;531772,38;472261,16;88,81
100460;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;372921,71;364664,13;97,79
102270;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;24113,94;8766,78;36,36
102270;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;166007,00;125382,60;75,53
102270;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;163718,96;156064,48;95,32
101276;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;63130,36;94154,72;149,14
101276;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;356880,37;298224,81;83,56
101276;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;463224,45;563205,93;121,58
100465;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;24889,92;7301,58;29,34
100465;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;326576,12;265592,25;81,33
100465;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;280718,02;324548,12;115,61
100515;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;101746,45;120285,39;118,22
100515;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;536010,66;556681,68;103,86
100515;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;436805,61;552721,55;126,54
101982;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;51020,24;35388,17;69,36
101982;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;332852,27;149806,00;45,01
101982;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;389040,24;351270,29;90,29
100529;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;47725,17;58765,20;123,13
100529;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;519216,53;437679,99;84,30
100529;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;448174,08;411552,56;91,83
100392;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;62128,99;46155,54;74,29
100392;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;380829,26;392638,09;103,10
100392;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;372018,97;449414,59;120,80
100379;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;38544,84;36307,37;94,20
100379;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;381999,21;328610,07;86,02
100379;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;243450,60;232861,36;95,65
100579;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;63168,73;45669,28;72,30
100579;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;400003,25;416011,14;104,00
100579;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;374033,65;371479,18;99,32
101661;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;58942,31;24372,71;41,35
101661;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;259038,42;171260,06;66,11
101661;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;391226,26;337659,55;86,31
