Çalışan Sicil No;Gösterge Adı ;Periyot;Ürün;Planlanan;Gerçekleşen;Sonuç 
100387;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;DICLOFLAM;752368,1;592328,96;78,73
100238;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;DICLOFLAM;493320,19;326176,96;66,12
100299;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;DICLOFLAM;269934,74;134710,72;49,9
100389;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;PARAFON/X;780020,63;816764,34;104,71
100377;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;PARAFON/X;569309,03;454642,58;79,86
100008;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;PARAFON/X;678542,13;525099,68;77,39
100264;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;PARAFON/X;765321,75;750785,84;98,1
100285;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;PARAFON/X;628873,25;546041,3;86,83
100387;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;PARAFON/X;647093,03;569726,92;88,04
100238;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;PARAFON/X;644982,77;619229,66;96,01
100299;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;PARAFON/X;480175,13;272374,34;56,72
100389;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;BRONCHOREST;111507,62;54531,26;48,9
100377;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;BRONCHOREST;85309,31;50530,76;59,23
100008;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;BRONCHOREST;93514,41;58674;62,74
100264;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;BRONCHOREST;128733,59;97754,44;75,94
100285;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;BRONCHOREST;129030,26;59065,16;45,78
100387;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;BRONCHOREST;95098,14;62301,12;65,51
100238;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;BRONCHOREST;89019,66;41978,58;47,16
100299;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;BRONCHOREST;101080,5;64736,98;64,04
100389;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;DICLOFLAM;750026,99;940086,4;125,34
100377;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;DICLOFLAM;616620,12;805109,12;130,57
100008;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;DICLOFLAM;685249,67;992767,36;144,88
100264;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;DICLOFLAM;967700,67;1489744;153,95
100285;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;DICLOFLAM;589575,79;685624,96;116,29
100387;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;DICLOFLAM;803738,93;1251792,96;155,75
100238;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;DICLOFLAM;526955,64;572413,12;108,63
100299;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;DICLOFLAM;288339,39;224813,44;77,97
100389;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;PARAFON/X;831067,4;947472,82;114,01
100377;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;PARAFON/X;606647,17;508380,88;83,8
100008;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;PARAFON/X;723034,42;625202,76;86,47
100264;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;PARAFON/X;815490,01;900689,58;110,45
100285;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;PARAFON/X;670035,85;671562,64;100,23
100387;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;PARAFON/X;689938,78;713195,98;103,37
100238;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;PARAFON/X;687178,96;652522,22;94,96
100299;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;PARAFON/X;511504,5;344870,82;67,42
100198;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;EVASIF;264247,44;246735,9;93,37
100074;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;EVASIF;245505,83;221151,45;90,08
100087;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;EVASIF;285928,51;223964,4;78,33
100162;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;EVASIF;275970,65;278214,15;100,81
100784;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;EVASIF;230142,54;250620,45;108,9
100198;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;SIDATRIA;127531,98;81047,07;63,55
100074;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;SIDATRIA;103385,28;109591,95;106
100087;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;SIDATRIA;50104,74;53011,92;105,8
100162;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;SIDATRIA;76900,64;99907,08;129,92
100784;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;SIDATRIA;199601,09;164133,06;82,23
100198;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;ZENTICAVIR;110328,9;131049,06;118,78
100074;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;ZENTICAVIR;94201,67;108641,33;115,33
100087;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;ZENTICAVIR;122515,98;100747,19;82,23
100162;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;ZENTICAVIR;110296,63;138253,77;125,35
100784;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;ZENTICAVIR;91251,22;97596,08;106,95
100198;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;EVASIF;317235,52;338893,5;106,83
