Çal??an Sicil No;Gösterge Ad? ;Periyot;Ürün;Planlanan;Gerçekle?en;Sonuç 
101658;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLEXO GRUP;130005,00;120528,63;92,71
101658;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TRIBUDAT;49076,01;39860,86;81,22
101659;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;CREBROS;13916,65;14569,18;104,69
101659;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA PLUS JEL;86766,35;73490,59;84,7
101659;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;HIRUDOID;47930,92;46993,97;98,05
101659;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MODET;55846,90;60073,44;107,57
101661;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;20001,38;5250,93;26,25
101661;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;80794,49;56209,11;69,57
101661;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;140671,73;135635,67;96,42
101663;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;22721,84;16729,16;73,63
101663;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;115864,46;89370,27;77,13
101663;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;104129,75;121013,33;116,21
101664;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;30613,94;25243,62;82,46
101664;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;105885,58;92210,86;87,09
101664;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;124550,03;130278,40;104,6
101666;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;19131,60;13915,49;72,74
101666;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;156386,61;117277,20;74,99
101666;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;161570,49;148040,09;91,63
101668;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;EVASÝF  ;108332,48;72114,77;66,57
101668;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;SIDATRIA;42344,26;49507,31;116,92
101668;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ZENTICAVIR;40384,40;43884,49;108,67
101669;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;EVASÝF  ;99367,80;78808,71;79,31
101669;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;SIDATRIA;25621,28;23880,66;93,21
101669;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ZENTICAVIR;36100,71;37647,97;104,29
101671;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;26104,17;23560,13;90,25
101671;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;261335,70;223763,37;85,62
101671;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS;15659,66;14877,98;95,01
101671;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TERBISIL;52748,85;53546,61;101,51
101673;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;19482,23;32556,59;167,11
101673;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;216908,20;184790,82;85,19
