Çalışan Sicil No;Gösterge Adı ;Periyod;Hedef Ürün;Planlanan;Gerçekleşen;Sonuç 
100084;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ILIADIN;12007174,51;14521906,59;94,19697137
100493;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ILIADIN;11480346,32;14066864,45;95,43252976
100234;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ILIADIN;8970908,778;11302464,57;98,12752319
100419;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ILIADIN;6745054,312;9527028,09;110,0084683
100246;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ILIADIN;5165347,023;6341325,73;95,61690479
100302;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;PINIX;1133783,743;1338357,84;126,0057355
100077;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;PINIX;1391094,025;1258695,61;96,58563157
100084;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;PINIX;1487425,823;1049471,39;75,31536382
100493;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;PINIX;1621016,93;1314117;86,53559307
100234;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;PINIX;1432574,73;1061264,06;79,07777888
100419;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;PINIX;1449280,102;1405780,32;103,5412542
100246;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;PINIX;1712177,374;2205490,72;137,5006569
100302;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;TERBİSİL;732772,0842;768188,59;102,0754737
100077;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;TERBİSİL;1046607,158;1174781,66;109,2939005
100084;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;TERBİSİL;1759069,484;1832790,27;101,450045
100493;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;TERBİSİL;1588628,911;1614606,86;98,96162077
100234;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;TERBİSİL;1187109,582;1288035,17;105,6475376
100419;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;TERBİSİL;834327,6519;877414,14;102,3977607
100246;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;TERBİSİL;582887,6812;513770,5;85,82360538
100458;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;COGİTO;180106,6826;168718,18;109,1550506
100295;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;COGİTO;254360,8723;242816,22;111,2344134
100586;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;COGİTO;161433,769;127500,89;92,03025183
100659;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;COGİTO;175629,7651;135831,72;90,11868797
100115;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;COGİTO;119130,5547;89557,63;87,5973985
100268;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;COGİTO;134657,0955;103841,61;89,85742125
100311;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;COGİTO;136075,4458;133205,71;114,0656439
100297;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;COGİTO;55486,61129;48558,75;101,9743808
100458;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;CRALIUM;21920,53536;15510,3;79,39277158
100295;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;CRALIUM;39692,33736;27976,13;79,08477537
100586;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;CRALIUM;26193,69108;24155,88;103,4756312
100659;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;CRALIUM;27969,43929;31285,84;125,5093215
100115;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;CRALIUM;16379,03091;19579,43;134,1293327
