Çalýþan Sicil No;Gösterge Adý ;Periyot;Ürün;Planlanan;Gerçekleþen;Sonuç 
100297;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;DULOXX;1000969,32;1083824,42;108,28
100297;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;GYREX;3070364,75;3764505,13;122,61
100297;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;PHOCUSS;443960,92;400594,85;90,23
100115;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;DULOXX;1538621,88;1623424,93;105,51
100115;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;GYREX;3531373,48;3956527,15;112,04
100115;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;PHOCUSS;864101,78;927446,41;107,33
100311;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;DULOXX;1760671,87;2067329,71;117,42
100311;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;GYREX;3630549,63;4123401,87;113,58
100311;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;PHOCUSS;878211,05;921026,17;104,88
100268;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;ETKINIA;632732,47;586547,03;92,7
100268;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;SECITA;2018526,7;2058595,79;101,99
100268;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;UKRA;253178,98;267810,12;105,78
100295;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;ETKINIA;967361,69;954919,42;98,71
100295;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;SECITA;3128413,39;3107371,81;99,33
100295;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;UKRA;385489,31;382986,07;99,35
100458;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;ETKINIA;898900,74;913998,75;101,68
100458;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;SECITA;2641605,2;2646947,07;100,2
100458;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;UKRA;248227,85;281135,18;113,26
100586;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;ETKINIA;749940,17;563656,28;75,16
100586;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;SECITA;3113587,36;2994137,5;96,16
100586;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;UKRA;344263,78;439463,61;127,65
100659;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;ETKINIA;839817,42;726510,25;86,51
100659;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;SECITA;3191087,88;3034250,64;95,09
100659;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;UKRA;323245,33;328831,16;101,73
100297;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;ETKINIA;481154,49;411838,98;85,59
100297;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;SECITA;1630377,38;1645686,35;100,94
100297;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;UKRA;165268,72;127778,65;77,32
