Çalýþan Sicil No;Gösterge Adý ;Periyot;Planlanan;Gerçekleþen;Sonuç 
100358;VA TSM Toplam Grup Kota Realizasyonu;4;153685,72;157579,74;102,53
100358;VA TSM Toplam Grup Kota Realizasyonu;5;177282,68;162816,68;91,84
100358;VA TSM Toplam Grup Kota Realizasyonu;6;171355,93;140380,83;81,92
100356;VA TSM Toplam Grup Kota Realizasyonu;1;151633,59;151565,7;99,96
100356;VA TSM Toplam Grup Kota Realizasyonu;2;167216,41;157166,92;93,99
100356;VA TSM Toplam Grup Kota Realizasyonu;3;158131,94;164985,04;104,33
100356;VA TSM Toplam Grup Kota Realizasyonu;4;144562,93;163951,89;113,41
100356;VA TSM Toplam Grup Kota Realizasyonu;5;167695,29;183530,21;109,44
100356;VA TSM Toplam Grup Kota Realizasyonu;6;160187,44;157877,71;98,56
100271;VA TSM Toplam Grup Kota Realizasyonu;1;98088,82;65173,51;66,44
100670;VA TSM Toplam Grup Kota Realizasyonu;1;161506,9;201395,38;124,7
100670;VA TSM Toplam Grup Kota Realizasyonu;2;200242,45;209931,54;104,84
100670;VA TSM Toplam Grup Kota Realizasyonu;3;183305,68;197503,71;107,75
100670;VA TSM Toplam Grup Kota Realizasyonu;4;168135,77;204495,69;121,63
100670;VA TSM Toplam Grup Kota Realizasyonu;5;191696,21;205956,56;107,44
100670;VA TSM Toplam Grup Kota Realizasyonu;6;185677,98;182948,03;98,53
100438;VA TSM Toplam Grup Kota Realizasyonu;1;155735,72;194480,49;124,88
100438;VA TSM Toplam Grup Kota Realizasyonu;2;192364,03;197512,96;102,68
100438;VA TSM Toplam Grup Kota Realizasyonu;3;176380,76;204769,51;116,1
100438;VA TSM Toplam Grup Kota Realizasyonu;4;161643,7;191959,42;118,75
100438;VA TSM Toplam Grup Kota Realizasyonu;5;185329,89;201588,65;108,77
100438;VA TSM Toplam Grup Kota Realizasyonu;6;179690,3;191070,23;106,33
100496;VA TSM Toplam Grup Kota Realizasyonu;1;96903,99;71437,2;73,72
100496;VA TSM Toplam Grup Kota Realizasyonu;2;117343,57;79929,07;68,12
100496;VA TSM Toplam Grup Kota Realizasyonu;3;108867,97;81552,49;74,91
100496;VA TSM Toplam Grup Kota Realizasyonu;4;100602,62;69289,09;68,87
100496;VA TSM Toplam Grup Kota Realizasyonu;5;114525,45;86177,66;75,25
100496;VA TSM Toplam Grup Kota Realizasyonu;6;111545,04;106547,19;95,52
100503;VA TSM Toplam Grup Kota Realizasyonu;1;142355,17;173322,37;121,75
100503;VA TSM Toplam Grup Kota Realizasyonu;2;174256,81;180135,38;103,37
100503;VA TSM Toplam Grup Kota Realizasyonu;3;161867,62;181118,03;111,89
100503;VA TSM Toplam Grup Kota Realizasyonu;4;148389,5;191365,53;128,96
100503;VA TSM Toplam Grup Kota Realizasyonu;5;171593,56;195728,64;114,07
100503;VA TSM Toplam Grup Kota Realizasyonu;6;165462,5;166346,51;100,53
100342;VA TSM Toplam Grup Kota Realizasyonu;1;119790,65;128594,92;107,35
100342;VA TSM Toplam Grup Kota Realizasyonu;2;147705,67;130040,12;88,04
100342;VA TSM Toplam Grup Kota Realizasyonu;3;137147,34;134615,79;98,15
100342;VA TSM Toplam Grup Kota Realizasyonu;4;125855,48;123091,32;97,8
100342;VA TSM Toplam Grup Kota Realizasyonu;5;145393,8;143476,08;98,68
100342;VA TSM Toplam Grup Kota Realizasyonu;6;139495,52;128943,83;92,44
100196;VA TSM Toplam Grup Kota Realizasyonu;1;104096,74;102147,59;98,13
100196;VA TSM Toplam Grup Kota Realizasyonu;2;129144,79;90238,83;69,87
100196;VA TSM Toplam Grup Kota Realizasyonu;3;117960,06;114862,68;97,37
100196;VA TSM Toplam Grup Kota Realizasyonu;4;109407,17;82946,69;75,81
100196;VA TSM Toplam Grup Kota Realizasyonu;5;124848,64;136709,91;109,5
100196;VA TSM Toplam Grup Kota Realizasyonu;6;121648,28;124962,96;102,72
100459;VA TSM Toplam Grup Kota Realizasyonu;1;117084,69;105141,61;89,8
100459;VA TSM Toplam Grup Kota Realizasyonu;2;142646,36;112878,62;79,13
100459;VA TSM Toplam Grup Kota Realizasyonu;3;134104,92;117939,13;87,95
100459;VA TSM Toplam Grup Kota Realizasyonu;4;123288;148946,66;120,81
100459;VA TSM Toplam Grup Kota Realizasyonu;5;142982,37;162563,76;113,69
100459;VA TSM Toplam Grup Kota Realizasyonu;6;137481,79;160602,83;116,82
100296;VA TSM Toplam Grup Kota Realizasyonu;1;147914,54;144730,67;97,85
100296;VA TSM Toplam Grup Kota Realizasyonu;2;179401,92;132392,63;73,8
100296;VA TSM Toplam Grup Kota Realizasyonu;3;167158,07;175917,54;105,24
100296;VA TSM Toplam Grup Kota Realizasyonu;4;154698,92;178744,79;115,54
100296;VA TSM Toplam Grup Kota Realizasyonu;5;178081,38;168037,14;94,36
100296;VA TSM Toplam Grup Kota Realizasyonu;6;171675,26;154545,19;90,02
100457;VA TSM Toplam Grup Kota Realizasyonu;1;138715,68;156249,78;112,64
100457;VA TSM Toplam Grup Kota Realizasyonu;2;168663,01;159356,76;94,48
100457;VA TSM Toplam Grup Kota Realizasyonu;3;157670,27;165277,02;104,82
100457;VA TSM Toplam Grup Kota Realizasyonu;4;145196,36;186352,4;128,35
100457;VA TSM Toplam Grup Kota Realizasyonu;5;166231,86;190966,07;114,88
100457;VA TSM Toplam Grup Kota Realizasyonu;6;161660,17;176935,8;109,45
100720;VA TSM Toplam Grup Kota Realizasyonu;1;117202,92;122376,46;104,41
100720;VA TSM Toplam Grup Kota Realizasyonu;2;144478,93;151388,13;104,78
100720;VA TSM Toplam Grup Kota Realizasyonu;3;133561,88;126363,96;94,61
100720;VA TSM Toplam Grup Kota Realizasyonu;4;122114,51;117794,48;96,46
100720;VA TSM Toplam Grup Kota Realizasyonu;5;139631,2;141379,35;101,25
100720;VA TSM Toplam Grup Kota Realizasyonu;6;135932,6;156189,05;114,9
100240;VA TSM Toplam Grup Kota Realizasyonu;1;118963,81;140590,26;118,18
100240;VA TSM Toplam Grup Kota Realizasyonu;2;148464,06;137313,08;92,49
100240;VA TSM Toplam Grup Kota Realizasyonu;3;135283,98;138528,84;102,4
100240;VA TSM Toplam Grup Kota Realizasyonu;4;123928,46;163181,2;131,67
100240;VA TSM Toplam Grup Kota Realizasyonu;5;140759,51;173509,61;123,27
100240;VA TSM Toplam Grup Kota Realizasyonu;6;137855,83;142417;103,31
100671;VA TSM Toplam Grup Kota Realizasyonu;1;139128,99;143032,35;102,81
100671;VA TSM Toplam Grup Kota Realizasyonu;2;174433,25;164434,76;94,27
100671;VA TSM Toplam Grup Kota Realizasyonu;3;160165,48;154266,03;96,32
100671;VA TSM Toplam Grup Kota Realizasyonu;4;147750,49;146507,43;99,16
100671;VA TSM Toplam Grup Kota Realizasyonu;5;169667,29;170984,47;100,78
100671;VA TSM Toplam Grup Kota Realizasyonu;6;163204,07;159520,76;97,74
100673;VA TSM Toplam Grup Kota Realizasyonu;1;129031,02;104238,12;80,79
100673;VA TSM Toplam Grup Kota Realizasyonu;2;158618,17;107743,52;67,93
100673;VA TSM Toplam Grup Kota Realizasyonu;3;146472,99;99455,38;67,9
100332;VA TSM Toplam Grup Kota Realizasyonu;1;120505,9;118856,61;98,63
100332;VA TSM Toplam Grup Kota Realizasyonu;2;151466,4;105442,61;69,61
100332;VA TSM Toplam Grup Kota Realizasyonu;3;138743,05;135413,42;97,6
100332;VA TSM Toplam Grup Kota Realizasyonu;4;129100,44;114890,53;88,99
100332;VA TSM Toplam Grup Kota Realizasyonu;5;148824,45;144875,94;97,35
100332;VA TSM Toplam Grup Kota Realizasyonu;6;142945,51;112683,49;78,83
100324;VA TSM Toplam Grup Kota Realizasyonu;1;126219,98;151546,13;120,07
100324;VA TSM Toplam Grup Kota Realizasyonu;2;157584,3;133939,98;85
100324;VA TSM Toplam Grup Kota Realizasyonu;3;143373,6;151499,82;105,67
100324;VA TSM Toplam Grup Kota Realizasyonu;4;131947,28;157144,94;119,1
100324;VA TSM Toplam Grup Kota Realizasyonu;5;151822,61;171998,25;113,29
100324;VA TSM Toplam Grup Kota Realizasyonu;6;147091,46;149330,64;101,52
100122;VA TSM Toplam Grup Kota Realizasyonu;1;142586,5;158932,53;111,46
100122;VA TSM Toplam Grup Kota Realizasyonu;2;177179,83;165449,71;93,38
100122;VA TSM Toplam Grup Kota Realizasyonu;3;162153,28;169885,18;104,77
100122;VA TSM Toplam Grup Kota Realizasyonu;4;149421,29;170420,56;114,05
100122;VA TSM Toplam Grup Kota Realizasyonu;5;171273,14;203376,82;118,74
100122;VA TSM Toplam Grup Kota Realizasyonu;6;166081,46;191785,21;115,48
100416;VA TSM Toplam Grup Kota Realizasyonu;1;141206,28;150537,01;106,61
100416;VA TSM Toplam Grup Kota Realizasyonu;2;176157,11;168479,49;95,64
100416;VA TSM Toplam Grup Kota Realizasyonu;3;161997,65;172660,85;106,58
100416;VA TSM Toplam Grup Kota Realizasyonu;4;149344,13;156125,6;104,54
100416;VA TSM Toplam Grup Kota Realizasyonu;5;171503,85;184856,11;107,79
100416;VA TSM Toplam Grup Kota Realizasyonu;6;165985,19;178856,37;107,75
100538;VA TSM Toplam Grup Kota Realizasyonu;1;145194,72;186821,47;128,67
100538;VA TSM Toplam Grup Kota Realizasyonu;2;178819,29;196468,43;109,87
100538;VA TSM Toplam Grup Kota Realizasyonu;3;163027,64;189352,1;116,15
100538;VA TSM Toplam Grup Kota Realizasyonu;4;148581,9;196894,66;132,52
100538;VA TSM Toplam Grup Kota Realizasyonu;5;170193,94;245614,86;144,31
100538;VA TSM Toplam Grup Kota Realizasyonu;6;164926,64;225932,84;136,99
100239;VA TSM Toplam Grup Kota Realizasyonu;1;129309,56;121461,74;93,93
100239;VA TSM Toplam Grup Kota Realizasyonu;2;160283,86;116619,83;72,76
100239;VA TSM Toplam Grup Kota Realizasyonu;3;147532,76;121597,44;82,42
100239;VA TSM Toplam Grup Kota Realizasyonu;4;135719,4;152170,18;112,12
100239;VA TSM Toplam Grup Kota Realizasyonu;5;154479,27;147216,91;95,3
100239;VA TSM Toplam Grup Kota Realizasyonu;6;150178,9;135805,36;90,43
100071;VA TSM Toplam Grup Kota Realizasyonu;1;128644,85;136095,86;105,79
100071;VA TSM Toplam Grup Kota Realizasyonu;2;160414,87;160177,26;99,85
100071;VA TSM Toplam Grup Kota Realizasyonu;3;146789,92;164971,75;112,39
100071;VA TSM Toplam Grup Kota Realizasyonu;4;134618,94;201914,44;149,99
100071;VA TSM Toplam Grup Kota Realizasyonu;5;153528,91;191307,11;124,61
100071;VA TSM Toplam Grup Kota Realizasyonu;6;149245,81;177933,78;119,22
100261;VA TSM Toplam Grup Kota Realizasyonu;1;116455,18;128866,91;110,66
100261;VA TSM Toplam Grup Kota Realizasyonu;2;144688,51;126775,11;87,62
100261;VA TSM Toplam Grup Kota Realizasyonu;3;132982,79;133445,59;100,35
100261;VA TSM Toplam Grup Kota Realizasyonu;4;123070,7;132747,93;107,86
100261;VA TSM Toplam Grup Kota Realizasyonu;5;139844,17;158398,56;113,27
100261;VA TSM Toplam Grup Kota Realizasyonu;6;135443,7;139142,2;102,73
100329;VA TSM Toplam Grup Kota Realizasyonu;1;120476,36;163900,09;136,04
100329;VA TSM Toplam Grup Kota Realizasyonu;2;150857,96;179753,19;119,15
100329;VA TSM Toplam Grup Kota Realizasyonu;3;137123,08;162392,22;118,43
100329;VA TSM Toplam Grup Kota Realizasyonu;4;126597,43;162973,59;128,73
100329;VA TSM Toplam Grup Kota Realizasyonu;5;143220,72;189843,59;132,55
100329;VA TSM Toplam Grup Kota Realizasyonu;6;139029,46;169227,84;121,72
100360;VA TSM Toplam Grup Kota Realizasyonu;1;116897,8;119151,91;101,93
100360;VA TSM Toplam Grup Kota Realizasyonu;2;146149,21;125295,27;85,73
100360;VA TSM Toplam Grup Kota Realizasyonu;3;133424,09;116510,68;87,32
100360;VA TSM Toplam Grup Kota Realizasyonu;4;122959,78;143879,2;117,01
100360;VA TSM Toplam Grup Kota Realizasyonu;5;139924,11;156534,15;111,87
100360;VA TSM Toplam Grup Kota Realizasyonu;6;135378,84;125370,19;92,61
100487;VA TSM Toplam Grup Kota Realizasyonu;1;108899,66;133760,57;122,83
100487;VA TSM Toplam Grup Kota Realizasyonu;2;134221,94;147744,16;110,07
100487;VA TSM Toplam Grup Kota Realizasyonu;3;123464,28;163573,04;132,49
100487;VA TSM Toplam Grup Kota Realizasyonu;4;112408;164938,44;146,73
100487;VA TSM Toplam Grup Kota Realizasyonu;5;128030,73;156441,42;122,19
100487;VA TSM Toplam Grup Kota Realizasyonu;6;124738,04;159450,22;127,83
100707;VA TSM Toplam Grup Kota Realizasyonu;1;115290,99;94965,55;82,37
100707;VA TSM Toplam Grup Kota Realizasyonu;2;140728,17;66556,16;47,29
100707;VA TSM Toplam Grup Kota Realizasyonu;3;130897,03;72558,2;55,43
100707;VA TSM Toplam Grup Kota Realizasyonu;4;120472,05;88999,67;73,88
100707;VA TSM Toplam Grup Kota Realizasyonu;5;139896;133025,98;95,09
100707;VA TSM Toplam Grup Kota Realizasyonu;6;133802,16;99055,77;74,03
100361;VA TSM Toplam Grup Kota Realizasyonu;1;129675,34;142949,62;110,24
100361;VA TSM Toplam Grup Kota Realizasyonu;2;159670,88;146024,6;91,45
100361;VA TSM Toplam Grup Kota Realizasyonu;3;146257,61;143816,48;98,33
100361;VA TSM Toplam Grup Kota Realizasyonu;4;135163,43;154039,81;113,97
100361;VA TSM Toplam Grup Kota Realizasyonu;5;155158,13;164761,45;106,19
100361;VA TSM Toplam Grup Kota Realizasyonu;6;151173,33;145336,82;96,14
100466;VA TSM Toplam Grup Kota Realizasyonu;1;142082,11;193758,98;136,37
100466;VA TSM Toplam Grup Kota Realizasyonu;2;175807,7;177646,3;101,05
100466;VA TSM Toplam Grup Kota Realizasyonu;3;160471,56;197182,43;122,88
100466;VA TSM Toplam Grup Kota Realizasyonu;4;148235,19;211201,03;142,48
100466;VA TSM Toplam Grup Kota Realizasyonu;5;170011,71;225740,38;132,78
100466;VA TSM Toplam Grup Kota Realizasyonu;6;165507,96;196404,2;118,67
100517;VA TSM Toplam Grup Kota Realizasyonu;1;114274,9;114589,76;100,28
100517;VA TSM Toplam Grup Kota Realizasyonu;2;139528,99;134578,65;96,45
100517;VA TSM Toplam Grup Kota Realizasyonu;3;129929,62;109397,45;84,2
100517;VA TSM Toplam Grup Kota Realizasyonu;4;119612,33;128493,93;107,43
100517;VA TSM Toplam Grup Kota Realizasyonu;5;139166,92;140992,35;101,31
